dataset_id,timestamp,s_pop,o_pop,question,possible_answers,answer,confidence,correct,score,false_answer_flag,idk_flag
3824,2026-01-02 15:32:03,45,355720,In what country is Miętkie-Kolonia?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",Poland,0.93,1,1,0,0
3825,2026-01-02 15:32:04,3759,1629691,In what country is Globe?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.45,1,1,0,0
3826,2026-01-02 15:32:05,36,355720,In what country is Szczecin Scientific Society?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",Poland,0.85,1,1,0,0
3827,2026-01-02 15:32:06,97,354820,In what country is Märstetten?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]",Switzerland,0.97,1,1,0,0
3828,2026-01-02 15:32:08,473,1301086,In what country is Ashta?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",India,0.72,1,1,0,0
3829,2026-01-02 15:32:09,1487,1629691,In what country is Turners Falls?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.87,1,1,0,0
3830,2026-01-02 15:32:10,61,556493,In what country is Riethnordhausen?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]",Germany,0.8642,1,1,0,0
3831,2026-01-02 15:32:11,394,713574,In what country is Linda?,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""au"", ""British Colony of Australia"", ""🇦🇺"", ""Straya"", ""Aussieland""]",I don’t have enough information to determine where Linda is.,0.1,0,0,1,1
3832,2026-01-02 15:32:12,28,233709,In what country is Tervola Radio and TV-Mast?,"[""Finland"", ""Republic of Finland"", ""Finnia"", ""Land of Thousand Lakes"", ""fi"", ""Suomi"", ""Suomen tasavalta"", ""Republiken Finland"", ""🇫🇮"", ""FIN""]",Finland,0.97,1,1,0,0
3833,2026-01-02 15:32:13,58,407891,In what country is Abdul Mannan Bhuiyan Stadium?,"[""Bangladesh"", ""bd"", ""🇧🇩"", ""BAN"", ""People's Republic of Bangladesh""]",Bangladesh,0.9125,1,1,0,0
3834,2026-01-02 15:32:14,292,209021,In what country is Medveščak?,"[""Croatia"", ""Republic of Croatia"", ""HR"", ""HRV"", ""hr"", ""🇭🇷"", ""CRO""]",Croatia,0.84,1,1,0,0
3835,2026-01-02 15:32:16,2069,522202,In what country is Malay?,"[""Philippines"", ""Republic of the Philippines"", ""PH"", ""ph"", ""the Philippines"", ""Philippine Islands"", ""PHL"", ""RP"", ""🇵🇭"", ""PHI"", ""Pinas""]",Malay is primarily spoken in Malaysia.,0.51,0,0,1,0
3836,2026-01-02 15:32:17,44,169786,In what country is Alu?,"[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST"", ""🇪🇪""]",Azerbaijan,0.24,0,0,1,0
3837,2026-01-02 15:32:18,340,1629691,In what country is Lincoln?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United Kingdom,0.42,0,0,1,0
3838,2026-01-02 15:32:19,333,140030,In what country is El Mourouj?,"[""Tunisia"", ""Republic of Tunisia"", ""Tunisian Republic"", ""tn"", ""🇹🇳"", ""TUN""]",Tunisia,0.99,1,1,0,0
3839,2026-01-02 15:32:20,113,1629691,In what country is Course of the Klamath River?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",The question seems to ask in what country the Course of the Klamath River is — the Klamath River flows in the United States (in Oregon and California).,0.82,1,1,0,0
3840,2026-01-02 15:32:23,198,1629691,In what country is Basin City?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.3512,1,1,0,0
3841,2026-01-02 15:32:24,357,1629691,In what country is Pope Villa?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.789,1,1,0,0
3842,2026-01-02 15:32:25,4473,1629691,In what country is Indian Child Welfare Act?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",The Indian Child Welfare Act (ICWA) is in the United States.,0.92,1,1,0,0
3843,2026-01-02 15:32:27,589,156803,In what country is El Salvador?,"[""Chile"", ""cl"", ""República de Chile"", ""🇨🇱"", ""Republica de Chile"", ""Republic of Chile"", ""CHI""]",El Salvador is a country; it is not located within another country. It is a sovereign nation in Central America.,0.92,0,0,1,0
3844,2026-01-02 15:32:28,100,486947,In what country is Villacerf?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",France,0.9765,1,1,0,0
3845,2026-01-02 15:32:29,2617,1629691,In what country is Windsor?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United Kingdom,0.35,0,0,1,0
3846,2026-01-02 15:32:30,1642,1629691,In what country is United States District Court for the District of South Carolina?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",The United States,0.87,1,1,0,0
3847,2026-01-02 15:32:31,451,205850,In what country is Perales Airport?,"[""Colombia"", ""🇨🇴"", ""República de Colombia"", ""Republic of Colombia"", ""COL"", ""CO""]",Colombia,0.9042,1,1,0,0
3848,2026-01-02 15:32:32,44,271047,In what country is Chotýčany?,"[""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""CZE"", ""Czechia""]",Czech Republic,0.95,1,1,0,0
3849,2026-01-02 15:32:34,37,816653,In what country is Asseek River?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",Canada,0.82,1,1,0,0
3850,2026-01-02 15:32:35,310,1629691,In what country is Arma?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Arma is a town in the United States (Arma, Kansas).",0.64,1,1,0,0
3851,2026-01-02 15:32:37,102,1629691,In what country is Poland?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Poland is a country; it is not located in another country — it is itself the country of Poland, located in Central Europe.",0.82,0,0,1,0
3852,2026-01-02 15:32:38,513,1629691,In what country is Mount Cleveland?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.6499,1,1,0,0
3853,2026-01-02 15:32:40,196,355720,In what country is 2010 European Track Championships?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",The 2010 European Track Championships were held in Belgium.,0.6345,0,0,1,0
3854,2026-01-02 15:32:41,89,355720,"In what country is Gąsiorowo, Legionowo County?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",Poland,0.98,1,1,0,0
3855,2026-01-02 15:32:43,143,354820,In what country is Brè?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]",Switzerland,0.97,1,1,0,0
3856,2026-01-02 15:32:44,192,1629691,In what country is Coin?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United Kingdom,0.37,0,0,1,0
3857,2026-01-02 15:32:45,245,382095,In what country is Victory Monument in Netanya?,"[""Israel"", ""State of Israel"", ""il"", ""🇮🇱"", ""Holy Land"", ""the Jewish state"", ""ISR""]",Israel,0.98,1,1,0,0
3858,2026-01-02 15:32:46,1036,1629691,In what country is Nashotah House?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.98,1,1,0,0
3859,2026-01-02 15:32:47,10394,702414,In what country is Japan–South Korea relations?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",Japan–South Korea relations are bilateral relations between the countries of Japan and South Korea.,0.4688,1,1,0,0
3860,2026-01-02 15:32:48,328,230720,In what country is Hotel Kangerlussuaq?,"[""Greenland"", ""gl"", ""🇬🇱""]",Greenland,0.98,1,1,0,0
3861,2026-01-02 15:32:49,7272,702414,In what country is Japanese passport?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",Japan,0.98,1,1,0,0
3862,2026-01-02 15:32:50,262,407517,In what country is Juma Masjid Mosque?,"[""South Africa"", ""Republic of South Africa"", ""RSA"", ""SA"", ""za"", ""🇿🇦"", ""zaf""]",India,0.22,0,0,1,0
3863,2026-01-02 15:32:51,27,317291,In what country is Jeqjeq-e Pain?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",Iran,0.695,1,1,0,0
3864,2026-01-02 15:32:52,1395,1629691,In what country is Constitution Avenue?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","United States (Constitution Avenue is a major street in Washington, D.C.)",0.64,1,1,0,0
3865,2026-01-02 15:32:53,421,486947,In what country is Marvejols?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",France,0.9,1,1,0,0
3866,2026-01-02 15:32:54,301,1629691,In what country is Temple?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.21,1,1,0,0
3867,2026-01-02 15:32:55,48,278539,In what country is Dragomirna River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",Romania,0.92,1,1,0,0
3868,2026-01-02 15:32:56,100,702414,In what country is Japan at the 1952 Winter Olympics?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",Norway,0.01,0,0,1,0
3869,2026-01-02 15:32:57,94586,1629691,In what country is USS Constitution?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.9999,1,1,0,0
3870,2026-01-02 15:32:58,11522,1629691,In what country is Port Authority Trans-Hudson?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.9865,1,1,0,0
3871,2026-01-02 15:32:59,101,486947,In what country is Neau?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",France,0.98,1,1,0,0
3872,2026-01-02 15:33:00,19,317291,In what country is Mohammadabad-e Razzaqzadeh?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",Iran,0.98,1,1,0,0
3873,2026-01-02 15:33:01,737,282017,In what country is Thorvaldsen Museum?,"[""Denmark"", ""DK"", ""Danmark"", ""DNK"", ""DEK"", ""dk"", ""Denmark proper"", ""metropolitan Denmark"", ""🇩🇰"", ""DEN"", ""TAN"", ""Realm of Denmark"", ""Kingdom of Denmark""]",Denmark,0.9625,1,1,0,0
3874,2026-01-02 15:33:02,167,328810,In what country is Brazil at the 1968 Summer Olympics?,"[""Brazil"", ""Federative Republic of Brazil"", ""BR"", ""BRA"", ""br"", ""🇧🇷""]",Mexico,0.84,0,0,1,0
3875,2026-01-02 15:33:03,3371,407891,In what country is union council of Bangladesh?,"[""Bangladesh"", ""bd"", ""🇧🇩"", ""BAN"", ""People's Republic of Bangladesh""]","Bangladesh is a country; a union council is the smallest rural administrative and local government unit in Bangladesh, so it is in Bangladesh.",0.9043,1,1,0,0
3876,2026-01-02 15:33:05,56,140196,In what country is Grant?,"[""Slovenia"", ""Slovenija"", ""Republika Slovenija"", ""si"", ""🇸🇮"", ""svn"", ""slo"", ""Republic of Slovenia"", ""SLO""]","I don't have enough information to determine which ""Grant"" you mean — there are many places named Grant (towns, counties, people) in different countries. If you mean a specific Grant (e.g., Grant, Nebraska; Grant County, Washington; Grant, Argentina), please specify which one so I can answer precisely.",0.25,0,0,1,1
3877,2026-01-02 15:33:06,40,328810,In what country is Rubim do Norte River?,"[""Brazil"", ""Federative Republic of Brazil"", ""BR"", ""BRA"", ""br"", ""🇧🇷""]",Brazil,0.84,1,1,0,0
3878,2026-01-02 15:33:07,87,202201,In what country is Institute of Chemistry of Ireland?,"[""Ireland"", ""Éire"", ""IE"", ""IRL"", ""Republic of Ireland"", ""Hibernia"", ""Ireland, Republic of"", ""ie"", ""ireland"", ""🇮🇪"", ""Eire"", ""Southern Ireland""]",Ireland,0.9625,1,1,0,0
3879,2026-01-02 15:33:08,1647,1301086,In what country is Sircilla?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",India,0.95,1,1,0,0
3880,2026-01-02 15:33:09,29,1629691,In what country is Lima?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Peru,0.9999,0,0,1,0
3881,2026-01-02 15:33:10,27,1629691,In what country is KMEI-LP?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.85,1,1,0,0
3882,2026-01-02 15:33:11,78030,1629691,In what country is Charlotte Hornets?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",The Charlotte Hornets are in the United States.,0.964,1,1,0,0
3883,2026-01-02 15:33:12,292,1629691,In what country is Nazarene Theological Seminary?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.9765,1,1,0,0
3884,2026-01-02 15:33:14,53,271047,In what country is Záblatí?,"[""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""CZE"", ""Czechia""]",Czech Republic,0.9467,1,1,0,0
3885,2026-01-02 15:33:15,54,262637,In what country is Ba Thín River?,"[""Vietnam"", ""Socialist Republic of Vietnam"", ""VN"", ""VIE"", ""🇻🇳"", ""Việt Nam"", ""Viet Nam"", ""SRV"", ""VNM""]",Vietnam,0.9387,1,1,0,0
3886,2026-01-02 15:33:16,64,119154,In what country is El Carmen Rivero Tórrez?,"[""Bolivia"", ""Plurinational State of Bolivia"", ""bo"", ""bol"", ""🇧🇴"", ""Republic of Bolivia"", ""BOL"", ""Bolivia (Plurinational State of)""]",Bolivia,0.55,1,1,0,0
3887,2026-01-02 15:33:16,222,232782,In what country is FEST?,"[""Serbia"", ""🇷🇸"", ""Republic of Serbia"", ""Republika Srbija"", ""rs"", ""Srbija"", ""SRB"", ""RS""]",Portugal,0.1234,0,0,1,0
3888,2026-01-02 15:33:18,249,1629691,In what country is Edmund S. Muskie Graduate Fellowship Program?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.88,1,1,0,0
3889,2026-01-02 15:33:19,21981,1629691,In what country is Appalachian State University?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,1.0,1,1,0,0
3890,2026-01-02 15:33:20,36,702414,In what country is Kawahigashi Station?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",Japan,0.989,1,1,0,0
3891,2026-01-02 15:33:21,87,377325,In what country is Los Santos mine?,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP""]",Spain,0.9847,1,1,0,0
3892,2026-01-02 15:33:22,61,1629691,In what country is Whited Township?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.8,1,1,0,0
3893,2026-01-02 15:33:23,1256,136982,In what country is Juliaca?,"[""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""🇵🇪"", ""Republica del Peru""]",Peru,0.9999,1,1,0,0
3894,2026-01-02 15:33:24,156,1629691,In what country is Watson?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","I don't have enough information to determine which ""Watson"" you mean; there are many places and people named Watson in different countries. Please specify which Watson (e.g., Watson the town, person, or facility) or provide more context.",0.08,0,0,1,1
3895,2026-01-02 15:33:25,846,1629691,In what country is Neodesha?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.9975,1,1,0,0
3896,2026-01-02 15:33:28,381,136530,In what country is IDEA?,"[""Slovakia"", ""Slovak Republic"", ""sk"", ""🇸🇰"", ""SVK""]","It depends on which ""IDEA"" you mean; common possibilities:",0.54,0,0,1,0
3897,2026-01-02 15:33:29,2583,1629691,In what country is College of the Atlantic?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.9221,1,1,0,0
3898,2026-01-02 15:33:30,54,317291,In what country is Asalem Rural District?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",Iran,0.9375,1,1,0,0
3899,2026-01-02 15:33:32,44,486947,In what country is Contest?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]","The question is ambiguous as given; ""Contest"" could be a place name in multiple countries (for example, Contest is a commune in France, in the Mayenne department). If you mean the commune named Contest, it is in France.",0.72,1,1,0,0
3900,2026-01-02 15:33:33,64,1629691,In what country is Genoa?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Italy,0.9999,0,0,1,0
3901,2026-01-02 15:33:34,57,1629691,In what country is Normania Township?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.76,1,1,0,0
3902,2026-01-02 15:33:35,184,816653,In what country is Kelowna Chiefs?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",Canada,0.86,1,1,0,0
3903,2026-01-02 15:33:36,964,425312,In what country is Eros Airport?,"[""Namibia"", ""Republic of Namibia"", ""na"", ""🇳🇦"", ""NAM""]",Namibia,0.9392,1,1,0,0
3904,2026-01-02 15:33:37,479,150307,In what country is Macedonian Academy of Sciences and Arts?,"[""North Macedonia"", ""Republic of North Macedonia"", ""MKD"", ""FYROM"", ""FYR Macedonia"", ""Macedonia"", ""Former Yugoslav Republic of Macedonia"", ""Republic of Macedonia"", ""🇲🇰"", ""mk""]",North Macedonia,0.98,1,1,0,0
3905,2026-01-02 15:33:38,37,136982,In what country is Chicche District?,"[""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""🇵🇪"", ""Republica del Peru""]",Peru,0.98,1,1,0,0
3906,2026-01-02 15:33:39,57,486947,In what country is canton of Marseille-La Pomme?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",France,0.99,1,1,0,0
3907,2026-01-02 15:33:40,145,252752,In what country is Pal?,"[""Andorra"", ""Principality of Andorra"", ""Principality of the Valleys of Andorra"", ""ad"", ""🇦🇩"", ""AND""]",Andorra,0.92,1,1,0,0
3908,2026-01-02 15:33:42,126,183018,In what country is Liškiava?,"[""Lithuania"", ""Republic of Lithuania"", ""Lietuva"", ""🇱🇹"", ""LTU"", ""LT""]",Lithuania,0.988,1,1,0,0
3909,2026-01-02 15:33:43,126,556493,In what country is Direkte Aktion?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]",Germany,0.855,1,1,0,0
3910,2026-01-02 15:33:45,89,1301086,In what country is Devanur?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",India,0.93,1,1,0,0
3911,2026-01-02 15:33:46,246420,1066107,In what country is BBC?,"[""United Kingdom"", ""🇬🇧"", ""UK"", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K."", ""GBR"", ""GB"", ""U. K."", ""U K"", ""G.B."", ""G. B."", ""G B"", ""Great Britain"", ""G.B.R."", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland""]",The BBC is based in the United Kingdom.,0.98,1,1,0,0
3912,2026-01-02 15:33:47,93,196468,In what country is Tegher?,"[""Armenia"", ""Republic of Armenia"", ""🇦🇲"", ""ARM"", ""AM""]",Armenia,0.92,1,1,0,0
3913,2026-01-02 15:33:48,67,1301086,In what country is Kodki?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",India,0.982,1,1,0,0
3914,2026-01-02 15:33:49,35087,1629691,In what country is US Open?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",The United States of America,0.82,1,1,0,0
3915,2026-01-02 15:33:50,40,317291,In what country is Javar Tan?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",Iran,0.82,1,1,0,0
